tweets,label
me quise ligar a una chava ayer y no me pelo le pregunte si era lesbiana y me dio una cachetada HASHTAG,P
eres un punal papayita,P
magnate ofrece mdd al hombre que conquiste a su hija lesbiana URL,P
los trolebuses del desgobierno de son idiotas uno se pone valeria y dice que tiene pito o es travesti o tiene el clitoris desarrollado,P
en epoca de hitler no se decia eres gay y si eres un joto al campo de concentracion URL,P
estaban unos vatos gays enfrente de mi y de besaron bien cabron que hasta me senti violado,P
lo que siento por esta bola de inutiles homosexuales no se compara con nada uno de los viajes que mas he disfrutado en la vida los amo perros en coralina daylight club URL,P
nononono la ley trans codigo penal dice que te los quedas pero en forma de aretes,P
aca hay uno del de hecho un twitter search rayado maricon y hay de todos los anos URL,P
a donde vas a estas horas hijo al table mama a mi no me haces pendeja vas al concierto de justin bieber maricon,P
osea eso que son dos maricones mejor hm,P
que estara haciendo la machorrita,P
HASHTAG todos los de veracruz son jotos jajajajaja,P
por que hay puros putos ahi por que lloran como senoritas los hombres son puros punales URL,P
las famosas lesbianas no llegan a ser del todo homosexuales siempre querran tener algo URL just saying,P
alguna pregunta profe si un transexual protagoniza un video viral es lord o lady de la clase pendejo ah no ninguna,P
chinga tu madre puto,P
mariquita mariquita como nina siempre gritas,P
y el premio de los mellizos putos es URL URL,P
yo no apuesto con jotos no pagan,P
HASHTAG que ya mandes un mensaje al grupo mariquita,P
como que ultimamente ando muy intolerante a la mirada lasciva de los pinches jotos HASHTAG,P
wee tipo cuando llega el joto que le pegaste en semanas pasadas y se sienta a lado de tu mesa URL,P
que marica,P
jaja che maricon ntpsdv URL,P
usted joto xdd,P
te iba a decir algo de tu mama pero mejor te digo que jimenez es punal cuahumello es analfabeto lainez es un inflado que no sirve para nada y ochoa es una mamada de portero creo que te ofende mas y sigue sin ser el cara llorando de risa cara llorando de risa,P
esos de bts se me hacen seres asexuales eunucos o algo asi todo raro,P
con todas las historias que los rayados le han inventado a sinergia ya hubieran escrito un libro mas famoso que las mil y una noches lamentable pero bueno se entiende si su lider es el jotito del sabalero hombre encogido de hombros tono de piel claro,P
es de jotitas muy corrientitas cortar las palabras como para verse nice o de plano son muy wuebonas para escribir y URL que hueva cuando hablan asi de celu pelis bendi URL,P
yo no estoy en contra de los homosexuales es mas tengo amigos mientras se queden ahi con sus actividades peculiares y no se quieran casar o peor aun adoptar a ninos inocentes yo seguire apoyando,P
cc peleaban con rugal y ponian a roberto carlos de delantero asi o mas putito el chamaco,P
ps harto chisme con la lechugona esa que ya saco el cobre y q pura mamada eso d q era chida,P
ya ves puros chistes de jotos q onda,P
en una sociedad donde las preferencias sexuales son una moda y no una libre eleccion aparentemente innata aborrezco a los homosexuales,P
esto se va a descontrooloolaar llevate al joto de mario bautista plis,P
el sabado para quien debe ser el mensaje del festejo de viejito con baston lunes pum por andarle jugando al vergas me lo mandaron a la chingada en computrabajo puedes buscarle como recamarera maldito marica,P
vato marica metiendose con una URL HASHTAG a ver si la raza saca quien es URL,P
el nuevo juan gabriel por joto URL,P
ese nombre suena a transexual jajaja,P
que jotos pero en fin me caen bien jaja cara llorando de risa URL,P
esto es un asalto deme su dinero y nadie saldra herido me van a violar no senora porque no son jotos o que,P
cuando las lesbianas salen a comer quien paga la cuenta HASHTAG,P
y todo para que para que termines mordiendo almohadas mayate,P
ajajajaja si no es que se huanguea tu puno y se vuelve punal como manuela palma xd,P
mariquita mariquita como radio siempre iioras,P
sabes que un hombre es gay cuando pone un playlist de rocio durcal,P
un slam como en el rocodromo culos toodos miedosos maricas,P
si son bien jotos,P
aplican el o que ches jotos,P
que puto primero se burla de nuestro crack y luego llora cuando lo encaran HASHTAG,P
oye ayudame a hacerle llegar esto al joto ese de URL,P
capitan america es un marica que cambio a tony por su amigo asesino,P
si que paso pinche piojo punal jajajajaja profe tuca es lo maximo usted vamos por la sexta copa,P
me caga lo marica que puedes llegar a ser,P
amigas solteronas mejor den gracias a mi tocayin san antonio porque no les ha dado un novio falso panzon borracho closetero y pinche feo,P
pinche joto mejor me la hubieras mentado jajajaja,P
que marica hahaha mejor riifate en el final,P
dijo el joto,P
que chingue su madre el punal chivista del pali,P
otra jota liosa de derecha,P
nosotros si sabemos perder marica,P
los dos jotazos ojala fueran homosexuales pero son maricas con poder y de closet secreto a voces,P
te tengo a un lado y no te lo digo por marica jajaja,P
no seas mamon no seas localista le vas a rayados y no nos jusgas pinche joto,P
vean como el presidente electo por millones de ilusionados con un supuesto cambio no cumple nada de lo que ofrece aunque se trate de casos de vida o muerte ahora despues del nino ahogado reacciona no por apoyarlo sino por intentar no ser impopular maricon,P
ni das nada maricon,P
los insultos no son por informar son por mal informar para desprestigiar andan pregonando de lo que carecen el que se lleva aguanta y no anda de cobarde ni de chillon como marica de ropero viejo no que muy sacale punta hipocrita,P
pide pruebas y se las llevan y se zurra asi de maricon es,P
por que no le dicen a esta lesbiana que callada se veria mejor nadie le pidio su perra opinion y antes de hablar que se lave el hocico con agua bendita la senora veronica castro es una gran dama y una gran mujer se tenia que decir y lo dije URL,P
intensamente y creed todo lo demas esta de hueva pretencioso y gay te odio puta chica danesa,P
me llamo munequito pinche joto ya ni mis tias,P
no habia visto tu foto de perfil ajajajajaj k gay,P
es feo que a esa altura quieran taparle el ojo al macho y seguir de closeteros neta a los dos se les veia el precio y pues ojala y el despechado haya mandado a la verga al closetero o bi o quiza solo era culero,P
de que me sirve tener amigos gays si no me sirven para consejos de moda cara con ojos en blanco HASHTAG,P
pose de lencha alfa cara revolviendose de la risa,P
falta y quieras a la gilbertona wey inche maricon jajajajajaja URL,P
dile a ese amigo y tu k se vayan ala verga de mi parte tengan huevos de decirmelo en mi cara putos de mierda,P
me considero un ser de luz pero nunca le rendire tributo a cfe bola de jotos,P
esa foto de portada que jajajajajj che transformer feo eww,P
ese mariconcito todo rayado es el que dice que al presidente lo apaleen chales seguro no sale de antros gay para despues simular heterosexualidad sin bronca por lo lgbtti comunidad muy respetable pero desde china y con neblina se le nota lo maricon lo cobarde y lo alienado,P
ser tortillero me hace lesbiana cco URL,P
llega un jotito a una taqueria le dice senor taquero meda un taco con chile noo mejor sin taco y por favor jojojojo cara saboreando comida,P
jueguen pinches jotos que para ser campeon le tienes que ganar a todos,P
los policias y los jotos,P
marica le gritaron y desde entonces se guardo en un closet,P
haciendosela de pedo a jotos useless,P
tienes una sobrina lenchita desde chiquita o tenia hambre nada mas,P
porque el marica no lloro igual o peor cuando el farca lo elimino el ano pasado URL,P
esa es lencha jajajaja,P
los fifas cuando vean a mucho joto en el estadio del superbowl para ver a rihanna URL,P
la cita no es ni marica ni de adolorido es una obra maestra jajajaja y ya sh,P
nada mas peligroso que un joto con autoestima demasiado alto,P
nombres de punal leonardo emmanuel sergio omar saul eric eduardo rodrigo jorge ese es todo el tuit gracias por su atencion,P
tipico que van a jugar gotcha y se cubren como con chalecos de kevlar los muy homosexuales,P
esta muy gay tu lago cisnes tchaikovski no tienes algo mas hetero por ahi cara con monoculo,P
no cabe duda que yo me visto medio vato y el se viste super gay cara llorando de risa cara llorando de risa cara llorando de risa cara llorando de risa,P
lo siento soy muy marica para el dolor,P
como me ultra cagan las comadres chavo gay y amiga gorda que vienen al gym a hacerse pendejas nadamas ocupan aparatos y pesas a lo estupido porque nisiquiera hacen bien el ejercicio y se la pasan hable y hable y se ponen solitos sus ejercicios hdsptm,P
la marica loca quiere bailar,P
a moco tendido con la peli de votos de amor cara llorando fuerte asi o mas marica cara con ojos en blanco,P
pinche joto,P
profe que es la homofobia callese maricon oiga profe respete a mi companero uy llego su novio a defenderlo beso beso beso,P
con argentina se chingan pinches holandeses maricones hijos de su ptm,P
tiene que jugar en liga de maricas,P
punal,P
lebron es una diva todo reclama ojala hubiera jugado contra los pistons o knicks para que viera que es madriza mariquita el rey,P
neta me tuve que hacer un spoiler pa que todo resultara super gay cara con ojos en blanco,P
no lloren jotos,P
HASHTAG es neta jajajajaja pateticos priistas de mierda no va a ganar esa jota de closet HASHTAG,P
le aplicaremos una prueba de alcoholimetro ha bebido hoy una capuchino moca y un nestea frio ok la multa es de por maricon,P
pinche noto maricon vente hacer lio a otro lado cara llorando de risa,P
y lo merecen o solo es darle un premio a alguien por ser gay moreno o negro madre soltera o con alguna discapacidad cara pensativa,P
que chingue a su madre ello porque es joto y su madrina el orate RT,P
dejen de tuitear sobre el partido ya empezo gaim of trons un pendejo mariquita,P
visaje el suyo marica ya se ve peor que ya sabemos quien,P
jajajajaja puto descarado borracho y mana influencia cara llorando de risa de nuevo porque lo escribi mal gg,P
pinche joto,P
ahora todos piensan que soy lencha cara preocupada cara preocupada,P
ya mejor me duermo no vaya a ser que se me incentive el instinto suicida darks marica,P
primero agarro e idiotizo a los jotos ahora va con las feministas esta hija de puta sera una delincuente pero saber llegar al mercado URL,P
no manches eso es de maricones tirar a alguien de una silla de ruedas es no tener madre pero a que no lo hacen en un mitin porque les va como al ruso ese que madr earon por prepotente,P
oye pitayo no seras joto cara radiante con ojos sonrientes si quieres te demuestro que no soy joto,P
ttu te estas tirando a ese trol bizco y sifilitico y yo soy la loca jajajajjajajaj,P
las mariquitas les dicen ahora,P
la triste retorica de las personas homosexuales victimizandose como bien dice steven ni son de otra especie ni se les ha negado nunca algun derecho pero se quieren adjudicar pseudoderechos en contra del bien y sentido comun,P
no sea joto capi,P
el nino parece dona cincuentona lesbiana del sur,P
jajajajajaja puto wilo,P
respondiendo a la pregunta solo deja de sacarte la ceja y de hacer duckface pinche marica de mierda URL,P
muero de risa cuando platico con un tipo que dice ser bisexual activo super discreto pero jamas ha tenido novia y sus ex son pura jota cara llorando de risa cara llorando de risa cara llorando de risa,P
me cambiaste por una gorda misera machorra y culera dedo corazon hacia arriba tono de piel claro cara sonriendo con gafas de sol URL,P
par de maricones,P
quee pinches tigres maricones,P
maldito maricon verg enza de la naturaleza humana,P
tener todos los albumes de justin en itunes no me convierte en gay verdad,P
cc que jotos los hombres que usan cc,P
en vez de sumar dividen al pais de un pendejo como su lider esquizofrenico y puto por k anda con sus pinches guaruras pero el dia que te vea te parto tu madre cabron y buscame tu solito puto,P
jajajaja tambien por maricon jajaja alv es cierto no te dolio es una mezcla de lo mejor del barca y el madrid sin messi y cr,P
tienen que prudrirse en l carsel x estafador y corrupto pinche mariquita,P
yo solo vine a gritarle puto al portero del leon como la damita que URL cara de alivio mano haciendo el signo de cuernos tono de piel claro medio,P
entonces si no seas mariquita HASHTAG,P
punales viendose fijamente URL,P
pepe es joto puno en alto,P
tono es joto,P
huele a marica,P
ahi lo dice claramente aparte de joto mitomano URL,P
la partida de skywars que me ha hecho enojar mas que ninguna otra ven para ak marica URL,P
porque eres tan pinche mandilon joto,P
da tu tanda maricon,P
oi nomas en mariquita escandalosa,P
traguese bien la verga o lo madreo punal URL,P
el mismo concepto si un travesti puede cambiar de genero entonces el tiene el derecho de cambiar de edad URL,P
no andes de lloron joto,P
algo peor que un americanista maricon cara guinando el ojo un tigre que se cree grande jajajajaja,P
pinches jotos,P
entiendan feminas bonitos los putos,P
pute companurl,P
eres marica,P
por mi arrancatela viejo joto,P
HASHTAG putas para todos y trato especial para los que todavia estan indesisos y se queden en el camino machin,P
el maricon es el tal chineo,P
me toco un gay en uber cara con el ceno fruncido,P
cuando los hombres den a luz en una sociedad pervertida y degenerada dominada por transgeneros si,P
que maricas se ven los corazones en cada HASHTAG,P
esos gays apenas no les puedes decir algo y ya piensan que quieres sexo jajajaja cara llorando de risa,P
el waze es para mariquitas un verdadero macho alfa lomo plateado barba cerrada nalga torneada se mete por donde su instinto animal le dice,P
pinchi maricon me la chupas,P
ser valiente ponga HASHTAG y no sea HASHTAG yo tengo mi foto aunque tambien algo tapada pero me pongo con ud hormiga URL,P
como son bien maricas y se duermen temprano cara desanimada,P
no le hagas caso a esos gays reprimidos amistad mientras yo sepa ke es mayor de edad basta y tengo pruebas ademas nadie le pidio ke viera mis fotos mejor ke se ponga a trabajar viejo senil solo roba el oxigeno a los demas cara llorando de risa,P
por que hay tantos homosexuales y lenchas en la carrera de qfb aqui en la uam pinches por que cara mareada,P
si luna nueva con cara me gusta la pelea jijiji vamos a darnos en la madre mariquita,P
haha los maricones ya no jugaron xd,P
y ahora todas las jotitas nuevas van a vomitar de elogios a la gaga sorry pero no es jessica lange HASHTAG,P
ser un maniaco depresivo no es tarea facil hay quien piensa que se trata solo de andar chillando con peliculas de perritos perdidos y la verdad va mas alla de ser un gordo marica,P
que inmoral es este joto,P
