sub_id,content,L,G,B,T,O
0_Track2,"—Bueno, pues ya pasó la euforia papá, ahora sí dime, este vestido es blanco o azul?
—Que me vale verga el color ya quítatelo pinche maricón!",0,1,0,0,0
1_Track2,"Esos de BTS se me hacen seres asexuales, eunucos o algo así todo raro.",0,0,0,0,1
2_Track2,La partida de skywars que me ha hecho enojar mas que ninguna otra ven para ak marica url,0,1,0,0,0
3_Track2,"Se te acabo tu juego maldito joto asqueroso, esta me la pagas pq me la pagas, 🤭😡",0,1,0,0,0
4_Track2,@Lunaazulada_ Será a los jotitos.??ellos prefieren las banderillas.🤣🤣🤣🤣,0,1,0,0,0
5_Track2,Me regresa el acento colombiano! Maricas mal paridos,0,1,0,0,0
6_Track2,@Bob_Chavez tu cola :/ yo solo respeto a las lesbianas y mujeres bisexuales •3• Jajaja los jotos que.,0,1,0,0,0
7_Track2,"@goliveros Qué pena @goliveros, de verdad qué pena no cumplir con el estereotipo del hombre homosexual elegebetero, ideologizado,  unicornio, transgenerizado quedabien, que pide perdón por ser hombre, con el que tanto empatizas, pero como dice la canción, ""no soy monedita de oro"".",0,1,0,1,0
8_Track2,@jdonadus puro joto en tu foto de avatar !! Jajaja url,0,1,0,0,0
9_Track2,"las tragedias que marcaron el 2021.

-legalización del matrimonio homosexual.
-asalto al capitolio.
-protistas en cuba.
-Atlas y Cruz azul campeones.

por un 2022 lleno de bendiciones, éxitos y alegrías y por menos tragedias.",0,1,0,0,0
10_Track2,"Jefe, ese puñal es un botarate o sea, un PENDEJO. Saludos. url",0,1,0,0,0
11_Track2,"Your score : 67.101, Try again! I think you can do it well! url

Los reto pinches puñales: @samuelpi_ @markcups @santa_nero 
Saque 67, no sean tramposos y contesten que sacaron a la primera.",0,1,0,0,0
12_Track2,"¡QUÉ POCA MADRE! ¡PERO EL JOTO @ManceraMiguelMX Y LA MACHORRA DE LA @CDHDF PREFIEREN DEFENDER A LOS MALDITOS DELINCUENTES!

#PenaDeMuerteYa url",1,1,0,0,0
13_Track2,"Homosexual: persona que le gusta otra persona de su mismo sexo
Puto: el que lo lea 
#Mecausogracia #EHHHHHHPUTO!",0,1,0,0,0
14_Track2,Típico que van a jugar gotcha y se cubren como con 10 chalecos de kevlar los muy homosexuales.,0,1,0,0,0
15_Track2,@JoseRive_ @navarreted96 @ailed_merida Maricas ustedes yo no,0,1,0,0,0
16_Track2,"Es de jotitas muy corrientitas hablar y cortar palabras como ""obvi"" ""celu"" ""bendis"" o decir como locas palabras en inglés en una conversacion españurl Y si a eso le aunamos el tonito caguengue tipo mía colucci en versión url peor",1,1,0,0,0
17_Track2,PUTOS TODOOOOS,0,1,0,0,0
18_Track2,"Las famosas ""lesbianas"" no llegan a ser del todo homosexuales. Siempre querrán tener algo url Just saying. ¯\_(ツ)_/¯",1,0,0,0,0
19_Track2,@abraham_mel ni das nada maricon!!!,0,1,0,0,0
20_Track2,"Si la que te gusta tiene un amigo gay, automáticamente se vuelve una mamila en url",0,1,0,0,0
21_Track2,@_elan_ @OsirisMiguel Un mariquita menos :3,0,1,0,0,0
22_Track2,@silver_rwolf @CarlosQ04929914 @jjsc30 No le hagas caso a esos gays reprimidos amistad mientras yo sepa ke es mayor de edad basta y tengo pruebas además nadie le pidió ke viera mis fotos. Mejor ke se ponga a trabajar viejo senil solo roba el oxígeno a los demás 😂,0,1,0,0,0
23_Track2,Pide a @Disney que no adoctrine a nuestros hijos con ideología de género en sus programas infantiles. FIRMA:  url …,0,0,0,0,1
24_Track2,"@GranTocin0 Por fin se te quito lo puto, celebro.",0,1,0,0,0
25_Track2,@kai_leonardo Uy un joto,0,1,0,0,0
26_Track2,@victormonroy1 P.D. Activa la cuenta de puto grupito pinché maricon cobarde,0,1,0,0,0
27_Track2,Hay mujeres que parecen travestis 😧🤭 #SorryNotSorry,0,0,0,1,0
