,index,tweets,label
0,0,me quise ligar a una chava ayer y no me pelo le pregunte si era lesbiana y me dio una cachetada la culpaesde gaby gabyplatas,0
1,1,papaya rockera eres un punal papayita,0
2,2,magnate ofrece mdd al hombre que conquiste a su hija lesbiana url,0
3,3,los trolebuses del desgobierno de epn son idiotas uno se pone valeria y dice que tiene pito o es travesti o tiene el clitoris desarrollado,0
4,4,en epoca de hitler no se decia eres gay y si eres un joto al campo de concentracion undia particular edith gonzalez mx dgomezcasanova url,0
5,5,estaban unos vatos gays enfrente de mi y de besaron bien cabron que hasta me senti violado,0
6,6,lo que siento por esta bola de inutiles homosexuales no se compara con nada uno de los viajes que mas he disfrutado en la vida los amo perros en coralina daylight club url,0
7,7,nullkir nononono la ley trans codigo penal dice que te los quedas pero en forma de aretes,0
8,8,eddy vladimir garcia g tamedamus fjg td aca hay uno del de hecho un twitter search rayado maricon y hay de todos los anos url,0
9,9,a donde vas a estas horas hijo al table mama a mi no me haces pendeja vas al concierto de justin bieber marico n,0
10,10,legalmente perra dashoboy osea eso que son dos maricones mejor hm,0
11,11,que estara haciendo la machorrita,0
12,12,vucetichmeteme todos los de veracruz son jotos jajajajaja,0
13,13,por que hay puros putos ahi por que lloran como senoritas los hombres son puros punales url,0
14,14,las famosas lesbianas no llegan a ser del todo homosexuales siempre querran tener algo url just saying,0
15,15,alguna pregunta profe si un transexual protagoniza un video viral es lord o lady de la clase pendejo ah no ninguna,0
16,16,javier chinga tu madre puto,0
17,17,mariquita mariquita como nina siempre gritas,0
18,18,y el premio de los mellizos putos es url url,0
19,19,el produ loculobo chivas yo no apuesto con jotos no pagan,0
20,20,es tiempo de que ya mandes un mensaje al grupo mariquita mau hcorona,0
21,21,como que ultimamente ando muy intolerante a la mirada lasciva de los pinches jotos aromper hocicos,0
22,22,wee tipo cuando llega el joto que le pegaste en semanas pasadas y se sienta a lado de tu mesa url,0
23,23,ilove ramgsi que marica,0
24,24,jaja che maricon ntpsdv url,0
25,25,alan the prince n eslaquit usted joto xdd,0
26,26,te iba a decir algo de tu mama pero mejor te digo que jimenez es punal cuahumello es analfabeto lainez es un inflado que no sirve para nada y ochoa es una mamada de portero creo que te ofende mas y sigue sin ser el,0
27,27,esos de bts se me hacen seres asexuales eunucos o algo asi todo raro,0
28,28,sancadilla norte lahinchadamx con todas las historias que los rayados le han inventado a sinergia ya hubieran escrito un libro mas famoso que las mil y una noches lamentable pero bueno se entiende si su lider es el jotito del sabalero,0
29,29,es de jotitas muy corrientitas cortar las palabras como para verse nice o de plano son muy wuebonas para escribir y url que hueva cuando hablan asi de celu pelis bendi url,0
30,30,sergiotbh yo no estoy en contra de los homosexuales es mas tengo amigos mientras se queden ahi con sus actividades peculiares y no se quieran casar o peor aun adoptar a ninos inocentes yo seguire apoyando,0
31,31,cc peleaban con rugal y ponian a roberto carlos de delantero asi o mas putito el chamaco,0
32,32,lalo looney ps harto chisme con la lechugona esa que ya saco el cobre y q pura mamada eso d q era chida,0
33,33,el mex parienton ya ves puros chistes de jotos q onda,0
34,34,en una sociedad donde las preferencias sexuales son una moda y no una libre eleccion aparentemente innata aborrezco a los homosexuales,0
35,35,esto se va a descontrooloolaar aaronramsey llevate al joto de mario bautista plis,0
36,36,el sabado para quien debe ser el mensaje del festejo de viejito con baston lunes pum por andarle jugando al vergas me lo mandaron a la chingada en computrabajo puedes buscarle como recamarera maldito marica,0
37,37,vato marica metiendose con una url lord cafe a ver si la raza saca quien es url,0
38,38,mariobautista el nuevo juan gabriel por joto url,0
39,39,maestro doria ese nombre suena a transexual jajaja,0
