sub_id,content,label
0_Track1,"Me quise ligar a una chava ayer y no me pelo, le pregunte si era lesbiana y me dio una cachetada #LaCulpaesdeGaby @gabyplatas",P
1_Track1,"@papaya_rockera eres un puñal, papayita.",P
2_Track1,Magnate ofrece 130 mdd al hombre que conquiste a su hija lesbiana url,P
3_Track1,Los trolebuses del desgobierno de @EpN son idiotas. Uno se pone Valeria y dice que tiene pito O es travesti o tiene el clitoris desarrollado,P
4_Track1,"En época de Hitler no se decía ""eres gay"" y, sí ""eres un joto"" al campo de concentración @Undiaparticular @EdithGonzalezMx @dgomezcasanova url",P
5_Track1,Estaban unos vatos gays enfrente de mi y de besaron bien cabron que hasta me sentí violado,P
6_Track1,"Lo que siento por esta bola de inútiles homosexuales no se compara con nada, uno de los viajes que mas he disfrutado en la vida. Los amo perros!!! en Coralina Daylight Club url",P
7_Track1,"@nullkir Nononono, la ley trans código penal na017 dice que te los quedas.. pero en forma de aretes",P
8_Track1,"@eddy_tigrenana @VladimirGarciaG @Tamedamus @FJG_TD Acá hay uno del na0na1, de hecho un twitter search “rayado maricon” y hay de todos los años url",P
9_Track1,"A donde vas a estas horas, hijo? —Al table mamá. —¡A mi no me haces pendeja! ¡VAS AL CONCIERTO DE JUSTIN BIEBER, MARICÓN!",P
10_Track1,@Legalmenteperra @Dashoboy OSEA ESO QUE SON DOS MARICONES MEJOR HM,P
11_Track1,Que estará haciendo la machorrita  @feli087,P
12_Track1,#vucetichmeteme Todos los de Veracruz son jotos! Jajajajaja,P
13_Track1,"por que hay puros pUTOS ahí ? 
por que lloran como señoritas los hombres ? 
Son puros puñales ?  url",P
14_Track1,"Las famosas ""lesbianas"" no llegan a ser del todo homosexuales. Siempre querrán tener algo url Just saying. ¯\_(ツ)_/¯",P
15_Track1,"—¿Alguna pregunta?
—profe ¿Si un transexual protagoniza un video viral, es Lord o Lady? 
—De la clase, pendejo. 
—Ah no, ninguna.",P
16_Track1,@JavierAquino7 chinga tu madre puto,P
17_Track1,"Mariquita mariquita, como niña siempre gritas",P
18_Track1,Y el premio de los mellizos putos es url url,P
19_Track1,@El_produ @loculobo @Chivas yo no apuesto con jotos no pagan,P
20_Track1,#EsTiempoDe que ya mandes un mensaje al grupo mariquita @MauHCorona,P
21_Track1,Como que últimamente ando muy intolerante a la mirada lasciva de los pinches jotos #ARomperHocicos,P
22_Track1,Weeee tipo cuando llega el joto que le pegaste en semanas pasadas y se sienta a lado de tu mesa!!! url,P
23_Track1,@mvegab17 @iloveRamgsi Que marica.,P
24_Track1,jaja che maricón ntpsdv url,P
25_Track1,"@AlanTheprince @n_eslaquit usted, joto xdd",P
26_Track1,"@eggman1979 Te iba a decir algo de tú mamá pero mejor te digo que Jiménez es puñal, Cuahumello es analfabeto, Lainez es un inflado que no sirve para nada y Ochoa es una mamada de portero, creo que te ofende más (y sigue sin ser el 1% 😂😂)",P
27_Track1,"Esos de BTS se me hacen seres asexuales, eunucos o algo así todo raro.",P
28_Track1,@Andres71885443 @SancadillaNorte @lahinchadamx Con todas las historias que los rayados le han inventado a sinergia ya hubieran escrito un libro más famoso que las mil y una noches!! Lamentable!! pero bueno se entiende si su líder es el jotito del sabalero 🤷🏻‍♂️,P
29_Track1,"Es de jotitas muy corrientitas cortar las palabras como para verse ""nice"" o de plano son muy wuebonas para escribir y url 
Que hueva cuando hablan así de ""celu""""pelis""""bendi"" url",P
30_Track1,"@sergiotbh Yo no estoy en contra de los homosexuales, es más, tengo amigos. Mientras se queden ahí, con sus actividades ""peculiares"" y no se quieran casar o peor aun adoptar a niños inocentes, yo seguiré apoyando.",P
31_Track1,Cc peleaban con Rugal y ponían a Roberto Carlos de delantero así o más putito el chamaco.,P
32_Track1,"@lalo_looney ps harto chisme con la lechugona esa, que ya sacó el cobre y q pura mamada eso d q era chida",P
33_Track1,@ElMexparienton Ya ves puros chistes de jotos q onda,P
34_Track1,"En una sociedad donde las preferencias sexuales son una moda y no una libre elección aparentemente innata, aborrezco a los ""homosexuales"".",P
35_Track1,Esto se va a descontroooolooooooooooooolaaaaaaaaaaaar @aaronramsey  llévate al joto de Mario Bautista plis,P
36_Track1,"El sabado: para quién debe ser el mensaje del festejo de viejito con bastón

Lunes: pum!! por andarle jugando al vergas, me lo mandaron a la chingada 

En Computrabajo puedes buscarle como "" Recamarera "" 

Maldito marica",P
37_Track1,"Vato marica metiendose con una url
#LordCafe 

A ver si la raza saca quien es. url",P
38_Track1,@mariobautista_ el nuevo Juan Gabriel por joto url,P
39_Track1,@MaestroDoria Ese nombre suena a transexual jajaja,P
40_Track1,"Qué jotos pero en fin, me caen bien jaja 😂 url",P
41_Track1,"—Esto es un asalto, deme su dinero y nadie saldrá herido.
—¿Me van a violar?
—No, señora.
—¿porqué no, son jotos o que?""",P
42_Track1,Cuando las lesbianas salen a comer quien paga la cuenta? #YoMisogino,P
43_Track1,"@pedroferriz3 Y todo para que??  para que termines mordiendo almohadas.

Mayate!",P
44_Track1,@JhonatanGaribay ajajajaja si no es que se huanguea tu puño y se vuelve puñal como manuela palma xD,P
45_Track1,"Mariquita, mariquita como Radio siempre iioras.",P
46_Track1,Sabes que un hombre es gay cuando pone un playlist de Rocío Dúrcal.,P
47_Track1,"Un slam como en el rocodromo, culos toodos, miedosos, maricas.",P
48_Track1,Si son bien jotos!!!!,P
49_Track1,@juliandlg11 Aplican el 69 o que? Ches jotos,P
50_Track1,"@EstebanMqzG Que puto primero se burla de nuestro crack y luego llora cuando lo encaran 
#marica",P
51_Track1,Oye @Vahoooz ayudame a hacerle llegar esto al joto ese de @MattMiazga3 url,P
52_Track1,"@jimenice Capitan America es un marica, que cambio a Tony por su amigo asesino",P
53_Track1,@tuca_ferretti @MiguelHerreraDT si  que paso pinche piojo puñal jajajajaja   profe tuca es lo máximo usted   vamos por la  sexta copa  :),P
54_Track1,Me caga lo marica que puedes llegar a ser,P
55_Track1,"AMIGAS SOLTEROnaS: Mejor den gracias a mi tocayín San Antonio porque no les ha dado un novio falso, panzón, borracho, closetero y pinche feo",P
56_Track1,@Reporte_Indigo pinche joto mejor me la hubieras mentado jajajaja,P
57_Track1,@AdriannaGarco que marica! Hahaha mejor riiifate en el final!,P
58_Track1,@paconunezz -Dijo el joto,P
59_Track1,@gallon100 @peponrsk @paliplax @DAVIDRINCONGZ Que chingue su madre el puñal chivista del pali,P
60_Track1,@abrahamendieta Otra jota liosa de derecha,P
61_Track1,@rdz_roberto @donrober_ nosotros si sabemos. perder marica,P
