index,tweets,label
0,"Me quise ligar a una chava ayer y no me pelo, le pregunte si era lesbiana y me dio una cachetada #LaCulpaesdeGaby @gabyplatas",P
1,"@papaya_rockera eres un puñal, Papayita.",P
2,Magnate ofrece 130 mdd al hombre que conquiste a su hija lesbiana url,P
3,Los trolebuses del desgobierno de @EPN son idiotas. Uno se pone Valeria y dice que tiene pito O es travesti o tiene el clitoris desarrollado,P
4,"En época de Hitler no se decía ""eres gay"" y, sí ""eres un joto"" al campo de concentración @UndiaParticular @EdithGonzalezMx @dgomezcasanova url",P
5,Estaban unos vatos gays enfrente de mi y de besaron bien cabron que hasta me sentí violado,P
6,"Lo que siento por esta bola de inútiles homosexuales no se compara con nada, uno de los viajes que mas he disfrutado en la vida. Los amo perros!!! en Coralina Daylight Club url",P
7,"@nullkir Nononono, la ley trans código penal 2017 dice que te los quedas.. pero en forma de aretes",P
8,"@eddy_tigre22 @VladimirGarciaG @Tamedamus @FJG_TD Acá hay uno del 2021, de hecho un twitter search “rayado maricon” y hay de todos los años url",P
9,"A donde vas a estas horas, hijo? —Al table mamá. —¡A mi no me haces pendeja! ¡VAS AL CONCIERTO DE JUSTIN BIEBER, MARICÓN!",P
10,@LegalmentePerra @Dashoboy OSEA ESO QUE SON DOS MARICONES MEJOR HM,P
11,Que estará haciendo la machorrita  @felip87,P
12,#vucetichmeteme Todos los de Veracruz son jotos! Jajajajaja,P
13,"Por que hay puros PUTOS ahí ? 
Por que lloran como señoritas los hombres ? 
Son puros puñales ?  url",P
14,"Las famosas ""lesbianas"" no llegan a ser del todo homosexuales. Siempre querrán tener algo url Just saying. ¯\_(ツ)_/¯",P
15,"—¿Alguna pregunta?
—Profe ¿Si un transexual protagoniza un video viral, es Lord o Lady? 
—De la clase, pendejo. 
—Ah no, ninguna.",P
16,@JavierAquino7 chinga tu madre puto,P
17,"Mariquita mariquita, como niña siempre gritas",P
18,Y el premio de los mellizos putos es url url,P
19,@El_Produ @loculobo @Chivas yo no apuesto con jotos no pagan,P
20,#EsTiempoDe que ya mandes un mensaje al grupo mariquita @MauHCorona,P
21,Como que últimamente ando muy intolerante a la mirada lasciva de los pinches jotos #ARomperHocicos,P
22,Weeee tipo cuando llega el joto que le pegaste en semanas pasadas y se sienta a lado de tu mesa!!! url,P
23,@mvegab17 @iloveRamgsi Que marica.,P
24,jaja che maricón ntpsdv url,P
25,"@AlanThePrince @n_eslaquit usted, joto xdd",P
26,"@eggman1979 Te iba a decir algo de tú mamá pero mejor te digo que Jiménez es puñal, Cuahumello es analfabeto, Lainez es un inflado que no sirve para nada y Ochoa es una mamada de portero, creo que te ofende más (y sigue sin ser el 1% 😂😂)",P
27,"Esos de BTS se me hacen seres asexuales, eunucos o algo así todo raro.",P
28,@Andres71885443 @SancadillaNorte @lahinchadamx Con todas las historias que los rayados le han inventado a sinergia ya hubieran escrito un libro más famoso que las mil y una noches!! Lamentable!! Pero bueno se entiende si su líder es el jotito del sabalero 🤷🏻‍♂️,P
29,"Es de jotitas muy corrientitas cortar las palabras como para verse ""nice"" o de plano son muy wuebonas para escribir y url 
Que hueva cuando hablan así de ""celu""""pelis""""bendi"" url",P
30,"@sergiotbh Yo no estoy en contra de los homosexuales, es más, tengo amigos. Mientras se queden ahí, con sus actividades ""peculiares"" y no se quieran casar o peor aun adoptar a niños inocentes, yo seguiré apoyando.",P
31,Cc peleaban con Rugal y ponían a Roberto Carlos de delantero así o más putito el chamaco.,P
32,"@lalo_looney Ps harto chisme con la lechugona esa, que ya sacó el cobre y q pura mamada eso d q era chida",P
33,@ElMexParienton Ya ves puros chistes de jotos q onda,P
34,"En una sociedad donde las preferencias sexuales son una moda y no una libre elección aparentemente innata, aborrezco a los ""homosexuales"".",P
35,Esto se va a descontroooolooooooooooooolaaaaaaaaaaaar @aaronramsey  llévate al joto de Mario Bautista plis,P
36,"El sabado: para quién debe ser el mensaje del festejo de viejito con bastón

Lunes: Pum!! Por andarle jugando al vergas, me lo mandaron a la chingada 

En Computrabajo puedes buscarle como "" Recamarera "" 

Maldito marica",P
37,"Vato marica metiendose con una url
#LordCafe 

A ver si la raza saca quien es. url",P
38,@mariobautista_ el nuevo Juan Gabriel por joto url,P
39,@MaestroDoria Ese nombre suena a transexual jajaja,P
40,"Qué jotos pero en fin, me caen bien jaja 😂 url",P
41,"—Esto es un asalto, deme su dinero y nadie saldrá herido.
—¿Me van a violar?
—No, señora.
—¿Porqué no, son jotos o que?""",P
42,Cuando las lesbianas salen a comer quien paga la cuenta? #YoMisogino,P
43,"@pedroferriz3 Y todo para que??  Para que termines mordiendo almohadas.

Mayate!",P
44,@JhonatanGaribay ajajajaja si no es que se huanguea tu puño y se vuelve puñal como manuela palma xD,P
45,"Mariquita, mariquita como Radio siempre iioras.",P
46,Sabes que un hombre es gay cuando pone un playlist de Rocío Dúrcal.,P
47,"Un slam como en el rocodromo, culos toodos, miedosos, maricas.",P
48,Si son bien jotos!!!!,P
49,@juliandlg11 Aplican el 69 o que? Ches jotos,P
50,"@EstebanMqzG Que puto primero se burla de nuestro crack y luego llora cuando lo encaran 
#marica",P
51,Oye @Vahoooz ayudame a hacerle llegar esto al joto ese de @MattMiazga3 url,P
52,"@jimenice Capitan America es un marica, que cambio a Tony por su amigo asesino",P
53,@tuca_ferretti @MiguelHerreraDT si  que paso pinche piojo puñal jajajajaja   profe tuca es lo máximo usted   vamos por la  sexta copa  :),P
54,Me caga lo marica que puedes llegar a ser,P
55,"AMIGAS SOLTERONAS: Mejor den gracias a mi tocayín San Antonio porque no les ha dado un novio falso, panzón, borracho, closetero y pinche feo",P
56,@Reporte_Indigo pinche joto mejor me la hubieras mentado jajajaja,P
57,@AdriannaGarco que marica! Hahaha mejor riiifate en el final!,P
58,@paconunezz -Dijo el joto,P
59,@gallon100 @peponrsk @paliplax @DAVIDRINCONGZ Que chingue su madre el puñal chivista del pali,P
60,@abrahamendieta Otra jota liosa de derecha,P
61,@rdz_roberto @donrober_ nosotros si sabemos. Perder marica,P
62,@normareyessolis los dos Jotazos ojalá fueran homosexuales pero son maricas con poder y de closet secreto a voces!,P
63,Te tengo a un lado y no te lo digo por marica jajaja /:,P
64,@castillejos_m no seas mamon  no seas localista le vas a rayados y no nos jusgas pinche joto,P
65,"@CiroGomezL @lopezobrador_ Vean como el presidente electo por 30 millones de ilusionados con un supuesto cambio, no cumple nada de lo que ofrece. Aunque se trate de casos de vida o muerte. Ahora después del niño ahogado @lopezobrador_ reacciona, no por apoyarlo, sino por intentar no ser impopular. Maricon.",P
66,@abraham_mel ni das nada maricon!!!,P
67,"@cardonamex @antonio78391259 Los insultos no son por  informar, son por mal informar, para desprestigiar,  andan pregonando de lo que carecen el que se lleva aguanta y no anda de cobarde ni de chillón cómo marica de ropero viejo No que muy sácale punta hipócrita..",P
68,@rollercoaster64 @DonVocero @silvanoaureoles @lopezobrador_ Pide pruebas y se las llevan y se zurra. Así de maricon es.,P
69,"Por QUÉ NO LE DICEN A ESTA LESBIANA QUE CALLADA SE VERIA MEJOR NADIE LE PIDIO SU PERRA OPINION Y ANTES DE HABLAR QUE SE LAVE EL HOCICO CON AGUA BENDITA LA SEÑORA VERÓNICA CASTRO ES UNA GRAN DAMA Y UNA GRAN MUJER .
SE TENÍA QUE DECIR Y LO DIJE url",P
70,"Intensamente y Creed, todo lo demás está de hueva, pretencioso y gay te odio puta chica danesa",P
71,"Me llamó “muñequito”... pinche joto, ya ni mis tías.",P
72,"@Tovar32651838 no había visto tu foto de perfil, AJAJAJAJAJ k gay",P
73,"Es feo que a esa altura quieran taparle el ojo al macho y seguir de closeteros, neta a los dos se les veía el precio y pues ojalá y el despechado haya mandado a la verga al closetero o bi o quizá solo era culero.",P
74,De que me sirve tener amigos gays si no me sirven para consejos de moda 🙄 @betunatun_ @dada_88 #badgayfriends,P
75,@divette10 Pose de lencha alfa 🤣,P
76,"@JesusLopcorCSL @ElCarlosRdz @RamonUz11 Falta y quieras a la gilbertona wey, inche maricon jajajajajaja url",P
77,@miguela62853385 dile a ese amigo y tu  k se vayan ala verga de mi parte! tengan huevos de decírmelo en mi cara putos de mierda!!,P
78,"Me considero un ser de luz!
(Pero nunca le rendiré tributo a CFE) bola de jotos !",P
79,@lalogc4 esa foto de portada que ?? Jajajajajj che transformer feo eww,P
80,"@ManzanoDante @gilelihu Ese mariconcito todo rayado es el que dice que al Presidente lo apaleen? Chales, seguro no sale de antros gay, para después simular heterosexualidad. Sin bronca por lo LGBTTI, comunidad muy respetable, pero desde China y con neblina se le nota lo maricón, lo cobarde y lo alienado",P
81,"Ser tortillero me hace lesbiana?

Cco
@oliver_mx url",P
82,Llega un jotito a una taqueria le dice señor taquero meda un taco con chile nooo mejor sin taco y 5 por favor jojojojo 😋,P
83,Jueguen pinches jotos que para ser campeón le tienes que ganar a todos,P
84,Los policías y los jotos.,P
85,"""¡Marica!"", le gritaron, y desde entonces se guardó en un clóset.",P
86,Haciéndosela de pedo a jotos useless,P
87,@asfixiada tienes una sobrina lenchita desde chiquita o tenía hambre nada más?,P
88,Porque el marica no lloró igual o peor cuando el Farca lo eliminó el año pasado??? @VozMadridista url,P
89,@villanuevac Esa es lencha jajajaja,P
90,los fifas cuando vean a mucho joto en el estadio del superbowl para ver a Rihanna url,P
91,"@Sirena_Rock la cita no es ni marica ni de adolorido es una ""Obra Maestra"" :) jajajaja y ya sh.",P
92,Nada más peligroso que un joto con Autoestima demasiado alto!,P
93,"Nombres de Puñal:
Leonardo 
Emmanuel 
Sergio
Omar
Saúl
Eric
Eduardo
Rodrigo
Jorge

Ese es todo el tuit gracias por su atención",P
94,Típico que van a jugar gotcha y se cubren como con 10 chalecos de kevlar los muy homosexuales.,P
95,"@michohansen @Odin_Dupeyron ""Está muy gay tu ""Lago de@los Cisnes"", Tchaikovski, ¿no tienes algo más hetero por ahí?"" 🧐",P
96,No cabe duda que yo me visto medio vato y el se viste super gay😂😂😂😂,P
97,"Lo siento, soy muy marica para el dolor )':",P
98,Como me ultra cagan las comadres (chavo gay y amiga gorda) que vienen al gym a hacerse PENDEJAS!!!!!! nadamas ocupan aparatos y pesas a lo estúpido porque nisiquiera hacen bien el ejercicio y se la pasan hable y hable. Y se ponen solitos sus ejercicios hdsptm,P
99,La marica loca quiere bailar,P
100,"A moco tendido con la peli de ""Votos de amor"" 😭
Así o más marica? 🙄",P
101,@mauritrevino_ pinche joto,P
102,"—Profe ¿Qué es la homofobia?
—Cállese maricón. 
—Oiga profe, respete a mi compañero
—Uy, llegó su novio a defenderlo. BESO!! BESO!! BESO!!",P
103,Con Argentina se chingan pinches holandeses maricones hijos de su PTM!!!!,P
104,@neymarjr tiene que jugar en liga de Maricas!,P
105,@Santiagodelacm puñal,P
106,"LeBron es una diva, todo reclama, ojalá hubiera jugado contra los Pistons o Knicks para que viera que es madriza.

Mariquita el ""rey""",P
107,Neta me tuve que hacer un spoiler pa que todo resultara súper gay 🙄,P
108,@agh_bo @Adal_gvc No lloren jotos,P
109,"#GanóDelMazo es NETA!? JAJAJAJAJA PATÉTICOS PRIISTAS DE MIERDA NO VA A GANAR ESA JOTA DE CLOSET!
#NoMasPRI",P
110,"—Le aplicaremos una prueba de alcoholímetro, ¿Ha bebido hoy?
—Una capuchino moca y un Nestea frío.
—Ok, la multa es de $2,800 por maricón.",P
111,"Pinche notó maricon, vente hacer lío a otro lado 😂",P
112,"@TenochHuerta @versionextend Y lo merecen, o solo es darle un premio a alguien por ser ""gay, Moreno o Negro, madre soltera o con alguna discapacidad""? 🤔",P
113,"@Pajaropolitico @NewsweekEspanol QUE CHINGUE A SU MADRE ELLO, PORQUE ES JOTO, Y SU MADRINA EL ORATE RT",P
114,"""Dejen de tuitear sobre el partido, ya empezó Gaim Of trons""

- Un pendejo mariquita.",P
115,"@Psaramanuela2 @palopalitom Visaje el suyo marica, ya sé ve peor que ya sabemos quien ...",P
116,"@ayElJuann Jajajajaja puto descarado, borracho y maña influencia 😂 (de nuevo porque lo escribí mal ggggg)",P
117,@revistaproceso pinche joto!,P
118,Ahora todos piensan que soy lencha 😟😟,P
119,"Ya mejor me duermo, no vaya a ser que se me incentive el instinto suicida/darks/marica.",P
120,"Primero agarro e idiotizó a los jotos, ahora va con las feministas. Esta hija de puta será una delincuente pero saber llegar al mercado. url",P
121,"@AlanPonce_29 @Nora_Ruvalcaba @RoyCampos @PGR_mx @TwitterSupport @RickDjMx @emarthaaide @ileana_Mex @sofimenem @CarlosTorresF_ @ManuelVegaCln @carmen_olvera @ysenger @MagdaGraciasFCH @AmyCe2 No manches.

Eso es de maricones.

Tirar a alguien de una silla de ruedas es no tener madre.

Pero a qué no lo hacen en un mitin, porque les va como al Ruso ese que madr
earon por prepotente",P
122,"""@JBDzul: @bbakiut @gerarddelrivero  oye pitayo no seras joto 😁""//si quieres te demuestro que no soy joto",P
123,Ttu te estas tirando a ese trol bizco y sifilitico y yo soy la loca jajajajjajajaj,P
124,@Tamedamus @atlasfc Las mariquitas les dicen ahora!!!,P
125,"@Stevenneira La triste retórica de las personas homosexuales victimizándose. Como bien dice Steven, ni son de otra especie ni se les ha negado nunca algún derecho. Pero se quieren adjudicar pseudoderechos en contra del bien y sentido común.",P
126,@hdzcontreras no sea joto capi,P
127,@_MichelleSamano El niño parece doña cincuentona lesbiana del sur.,P
128,@BrendaPlancarte Jajajajajaja puto wilo,P
129,Respondiendo a la pregunta: solo deja de sacarte la ceja y de hacer duckface pinche marica de mierda. url,P
130,"Muero de risa cuando platico con un tipo que dice ser bisexual, activo súper discreto, pero jamás ha tenido novia y sus ex son pura jota 😂😂😂",P
131,"Me cambiaste por una gorda, mísera, machorra y culera. 🖕🏻😎 url",P
132,@CarlosLoret par de maricones,P
133,¡Queeeeeee pinches tigres maricones!,P
134,"@lopezdoriga Maldito maricon , vergüenza de la naturaleza humana",P
135,Tener todos los álbumes de Justin en iTunes no me convierte en gay verdad?,P
136,"Cc que Jotos los hombres que usan ""Cc""",P
137,@OficialFrenaaa en vez de sumar dividen al país de un pendejo como su líder esquizofrénico y puto por k anda con sus pinches guaruras pero el día que te vea te parto tu madre cabrón y búscame tu solito puto,P
138,"@LuisDV15 jajajaja también por maricón, jajaja alv es cierto ¿no te dolió? Es una mezcla de lo mejor del Barca y el Madrid sin Messi y CR :(",P
139,@AztecaPuebla tienen que prudrirse en l carsel x estafador y corrupto pinche mariquita,P
140,"Yo solo vine a gritarle ""Puto"" al portero del León, como la damita que url 😌🤘🏼",P
141,"@prettyinpunk27 entonces sí, no seas mariquita.  #YOLO",P
142,9 puñales viéndose fijamente. url,P
143,Pepe es joto✊,P
144,Toño es joto,P
145,@GeraLetipichia7 Huele a marica,P
146,"@Alejand53455108 @PhilPage30 @ChumelTorres Ahí lo dice claramente, aparte de joto,mitomano? url",P
147,La partida de skywars que me ha hecho enojar mas que ninguna otra ven para ak marica url,P
148,porque eres tan pinche mandilon joto,P
149,@alexsuarez_23 Da tu tanda maricon,P
150,@iamfernandabec Oi nomas! En mariquita escandalosa,P
151,Traguese bien la verga o lo madreo puñal url,P
152,"El mismo concepto, si un travesti puede cambiar de género, entonces él tiene el derecho de cambiar de edad url",P
153,@JoseHin27 no andes de llorón joto,P
154,"- Algo peor que un Americanista Maricón???😉
- Un Tigre que se cree grande!!!

Jajajajaja",P
155,@charlsjav Pinches jotos,P
156,Entiendan féminas BONITOS los putos !!!,P
157,@wulfrano Pute compañurl,P
158,@RicardoPD21 Eres marica,P
159,@fernandeznorona Por mi arráncatela viejo joto,P
160,@albertochavezv #MarchaHeterosexual putas para todos y trato especial para los que todavía están indesisos y se queden en el camino machin,P
161,@RubenCharvel El maricón es el tal chineo!,P
162,Me toco un gay en Uber☹️,P
163,@Reporte_Indigo Cuando los hombres den a luz en una sociedad pervertida y degenerada dominada por transgéneros sí.,P
164,Que maricas se ven los Corazones en cada #Tweet !,P
165,Esos gays apenas no les puedes decir algo y ya piensan que quieres sexo Jajajaja 😂,P
166,"El Waze es para mariquitas, un verdadero macho alfa lomo plateado barba cerrada nalga torneada, se mete por donde su instinto animal le dice",P
167,@justinbieber pinchi maricon me la chupas,P
168,Ser valiente ponga #Foto y no Sea #Maricon  yo tengo mi foto @MarceTyS aunque también algo tapada pero me pongo con ud 🐜 url,P
169,Como son bien maricas y se duermen temprano. 😔,P
170,@silver_rwolf @CarlosQ04929914 @jjsc30 No le hagas caso a esos gays reprimidos amistad mientras yo sepa ke es mayor de edad basta y tengo pruebas además nadie le pidió ke viera mis fotos. Mejor ke se ponga a trabajar viejo senil solo roba el oxígeno a los demás 😂,P
171,"¿Por qué hay tantos homosexuales y lenchas en la carrera de QFB, aquí en la UAM? ¡¿PINCHES POR QUÉ?! 😵",P
172,@52lindaG Si🌚 me gusta la pelea. Jijiji vamos a darnos en la madre mariquita,P
173,@A_Yuls  haha los maricones ya no jugaron XD,P
174,Y ahora todas las jotitas nuevas van a vomitar de elogios a la Gaga. Sorry pero no es Jessica Lange #GoldenGlobes,P
175,"Ser un maniaco depresivo no es tarea fácil, hay quien piensa que se trata solo de andar chillando con películas de perritos perdidos y la verdad va mas allá de ser un gordo marica.",P
176,@rturrent @HellDevice @SergioSarmiento Que inmoral es este joto,P
177,@keevii08 Amor yo t doy besitos para q ya no chilles q maricon eres babe,P
